text,label
"7/26/20, 10:37 PM - Group creator created group ""La famille de peter""",1
"7/26/20, 10:37 PM - You were added",1
Svp qui étudie à polytech ici ?,1
Svp c'est urgent,1
"Bonsoir!!  Besoin d'une chambre pour fille dans les, rayon de primoskaya.. Pour une période de 1mois et demi a compté de mi-juillet.",1
Bjr à tous besoin de 4 personnes demain pour travailler au метро большевиков (ligne orange),1
Le travail consiste à nettoyer les bâtiments et aussi faire monté le matériel par l'ascenseur.,1
8h de travail + 1h de pause,1
2500 roubles après le boulot,1
Moins 2,1
+,1
@79921896938 3,1
Moins 1,1
@23672504424 2,1
Moins 1,1
Fermé ❌❌❌,1
Bnsr à tous.  y'a t'il quelqu'un(e) qui quitte Moscou pour Saint petersbourg ce week-end.  J'ai un colis à faire descendre urgemment sur Saint petersbourg.,1
Service renuméré,1
Merci d'avance <This message was edited>,2
"Salutations, famille, je cherche une chambre ou un appartement, s'il y en a, faites-le-moi savoir, s'il vous plaît.",1
greetings family I'm looking for a room or apartment please if there's any let me know please,1
Une personne pour remplacer le numéro 4*,1
2500 руб,1
Метро большевиков,1
"6/7/24, 9:20 PM - Rich joined using this group's invite link",1
+,1
@79019770315 4,1
+,1
"6/8/24, 11:09 AM - +7 952 276-89-79 joined using this group's invite link",1
🛫🛫🛫🛫🛫🚨🚨🚨🚨,1
Départ le 13 juin 2024,1
🟡 Moscou🇷🇺»»> Cameroun 🇨🇲,1
46 kg disponible,1
🛫 envoyé vos documents 📑  et téléphone ☎️.          En tout sécurité,1
Contact +79963065594 ou 655808552        Écrivez sur WhatsApp,1
Mc2services ♻️🇷🇺🇨🇲,1
Bonsoir le lien pour voir le match SVP🙏🏽,1
Cameroun 1- Cap vert 0,1
C est déjà fini ?,1
"Bonsoir!!  Besoin d'une chambre pour fille dans les, rayon de primoskaya.. Pour une période de 1mois et demi a compté de mi-juillet.",1
Bonsoir la famille s'il vous plaît j'ai besoin d'une chambre ou d'une place en appartement si possible dans le métro ligne rouge ou bleue.Merci,2
"6/9/24, 1:06 PM - Rodriguez Peter removed ~ SERGE KAKE",1
Bonsoir svp lien du match de la France,1
🔥LIEN🔥 09/06,1
➖➖➖➖➖➖➖➖➖➖,1
📺 14h30 - Zverev ⚡️ Alcaraz,1
📺 20h00 - GP Canada 🏎️,1
➡️ t.me/huniliive306?livestream,1
➖➖➖➖➖➖➖➖➖➖,1
📺 21h15 - France ⚡️ Canada,1
➡️ t.me/huniliive307?livestream,1
merci,2
ça ne montre pas le match,1
Pas de nouvelles de la diffusion du match des Bleus ce soir. ❌📺,1
Les élections européennes et la dissolution de l'Assemblée Nationale prennent le dessus sur l'affiche France - Canada. 🗳️🇪🇺,1
okay,1
@79019770315 c’est déjà bon ici,1
oui oui merci,2
null,1
Bonjour à tous.tous ceux qui ont besoin d'un travail  constant ( manutention),1
"2/2 , 5/2 , 3/1 , 6/1",1
Faites moi signe en inbox pour tout les détails,1
J'ai besoin encore de 4 personnes ( de jour et de nuit ),1
3000 roubles,1
Ok,1
Bjr à tous besoin de 4 personnes demain pour travailler au метро большевиков (ligne orange),1
Le travail consiste à nettoyer les bâtiments,1
8h de travail + 1h de pause,1
2500 roubles après le boulot,1
+,1
+,1
@79019770315 1,1
@79193183951 2,1
+,1
@79910077803 3,1
+,1
@79916480756 4,1
Fermé ❌,1
"Salam à tous, Besoin du lien pour le match",1
Bjr à tous besoin de 7 personnes demain pour travailler au метро рыбацкое (dernier métro de la ligne verte),1
Le travail consiste à ramasser le matériel dans le chantier et nettoyé,1
8h de travail + 1h de pause,1
2500 roubles après le boulot,1
+,1
@79998478152 1,1
+,1
@25779875606 2,1
+,1
@79915597394 3,1
"6/11/24, 1:37 PM - +7 992 171-02-89 joined using this group's invite link",1
+,1
@79921710289 4,1
+,1
@201115024967 5,1
Moins 2,1
Moins 1 personne *,1
lien du match svp,1
🔥LIEN🔥 11/06,1
➖➖➖➖➖➖➖➖➖➖,1
📺 21h00 - Angola ⚡️ Cameroun,1
➡️ t.me/huniilive309?livestream,1
➖➖➖➖➖➖➖➖➖➖,1
📺 21h00 - Congo ⚡️ Maroc,1
➡️ t.me/huniilive310?livestream,1
Il ne fallait pas envoyer type là,1
Fermé ❌,1
Это информация это правильно? Какие условие??,1
Il ya quoi d'amusant ici @79003626251,1
Il faut te prendre au sérieux hein 😒,1
"C'est pas amusant! Rap, paix a son âme, champion😭😭😭😭",0
Repose en paix soldat 😞,1
Be proud and respect your roots and origin never pretend because you want to impress a whiteman 🤦🏻‍♂️,1
They already know who you are! 👌,1
Paix à son âme,1
"Repose en Paix🕊 surtout retenons une seule chose dans la vie  femme 👩 =femme quelque soit son origine ou sa couleur,  slmn les caractères qui sont  un p différents des unes des autres,  mais  l' appareil génital est pareil ! Restons 💪 très fort et  focus dans nos têtes 🙏🙏🙏🤝👍",1
"Moi je pige que dalle à son speech... Le frère est tombé sur un mauvais tuyau, c'est tout et ça peut arriver à tout le monde ! C'est pas une affaire de palmarès de femme blanche et bla bla bla.. Au fond le mec, il n'a rien à dire... RIP au défunt... C'est Dieu qui nous garde et veille sur nos pas... Le reste c'est bon pour la déchetterie 🧐 <This message was edited>",1
"Mes les mecs ne faisons pas de cela un débat juste une info. qu'il a filé c'est tout !! Nous sommes tous des majeurs et  responsables ici de nos  actes ! Comme le dis un adage c ns 《qu'il ne faut jamais conseillé un adulte,  mais plutôt l'informer car son cerveau 🧠 est trop développé pour choisir ce qui est bon pour lui》. 🤪😁Moi même  la semaine passée j'étais avec une toubabou mousso 🥂 le reste  g garde  ça pour la ........🤪🤑😶‍🌫️😶‍🌫️🥸🤓  alors  gérons  nos émotions mes frères",1
"Si quelqu'un a des doutes sur la cause de cet incident, c'est la même raison qui a tué de nombreux héros .STAY FUCUS👌",1
J'ai l'info direct !,1
Que cette âme repose dans la paix.,1
Rip,1
Bjr à tous besoin de 7 personnes demain pour travailler au метро рыбацкое (dernier métro de la ligne verte),1
Le travail consiste à ramasser le matériel dans le chantier et nettoyé,1
8h de travail + 1h de pause,1
2500 roubles après le boulot,1
+++,1
@79602647985 1,1
+,1
@201115024967 2,1
+,1
@79916480756 3,1
+,1
@79921710289 4,1
+,1
@237690776676 5,1
Salut la famille! Ça peut aides certains parmis nous☝🏾,1
Moins 2,1
+,1
@79522367189 6,1
+,1
@79019770315 7,1
Fermé ❌❌,1
Mbom faut laisser ce que tu raconte nous avions été tenté par tout ça surtout après un ou deux mois sans nias on était prés a aller n important où. Paix a son âme,1
Vos numéros de cartes en inbox s'il vous plaît,1
*ceux qui vont travailler demain prenez vos passeports svp*,1
null,1
"6/12/24, 11:15 PM - Оливиер joined using this group's invite link",1
Bsr,1
"Il y a aussi un adage qui dit ""la vie est un apprentissage qui ne finit jamais"". Un autre "" qui croit tout savoir n'apprend plus"".",1
