text,label
Donc le rouble ne va plus jamais atteindre 7??,1
Tu rêves encore !!!! Il faut attendre 7ans au moins,1
"Travaille beaucoup l'argent et cela va atteindre 6,999999999 fort qui menace 7.",1
Départ imminent,1
Good morning please my sister got a scholarship at hse but she needs to go back to my home country for them to extend her visa please is there another solution she can do to not go back to Cameroon,1
She has to finish with recognition and enrollment before the 14th of July the will extend her visa and she will not go back.,1
Le lien du match stp,1
Svp,1
Abou chou chou le meilleur depuis 10 ans,2
Donc celui qui a d'abord marqué là n'est pas meilleur ou alors ce n'est pas le but,2
Ce nest pas la meme chose mais cest un bon retour de sa part  This message was edited,2
21,1
Massa  cherchez ondoa,1
Cest le match de quoi? La CAN continue??,1
Pourquoi vous aimez la distraction? Donc ce but est la faute du gardien?,1
Le but  on accuse dabord le gardien  cherchez nous épassi bientôt 22,2
31,1
Le meilleur depuis 10 ans,2
Qualif pour la CDM,1
FORUM TRADING DIGITAL vous invite à suivre le DIRECT,1
Homme du match Moumi Ngamaleu le Russe.Le joueur de l'heur,1
Double passeur décisif et grâce à lui le penalty,1
Larissa a déjà marqué en sélection svp ? Cest juste un renseignement,1
Pardon c'est quelle staf qui est sur le banc ?,1
Le staff des lions,1
Version Fecafoot ou Minsport,1
?,1
Massa après on va voir l'autre là,1
FECAMIN,1
On arrête pas le but !,1
41,1
Bsr à tous,1
Mince 41 déjà?,1
Merci,2
Le chat,1
This message was deleted,1
Bravo Andre Onana,2
Bon les gens disent que cest Marc brys,2
"On va juger sa tactique contre une vrai équipe, les joueurs avaient slment la rage oday",1
Normalement c'est lui le patron de l'équipe jusqu'à preuve du contraire,1
On wait les vrai match contre,1
Si non ils jouent toujours comme le Cameroun  sans fond mais on gagne on ne veut rien ya,1
"Je n'aime pas discuter avec des gens trop pessimistes hein!  Pour vous rien n'est jamais bien. Ils ont fait un très bon match aujourd'hui, même si demain il perdent contre l'équipe du Tchad , sa n'enlèvera en rien leur victoire d'aujourd'hui",2
Gar je suis dabord un bon bipolaire en tant k . Que le marc brys la tante de ndem contre langola alors il va respecter. Si il gagne on va jubiler point.,2
Tu fais de ceux là qui attendaient l'echec aujourd'hui. Mais Hélas!!!,1
"Es ce que je cache ? , ils perdent on parle, ils gagnent on jubile cest pas moi cest le",1
"Non je vois plutôt l'esprit de critiquer le banc de touche actuel, C'est la vrai raison là bas.",1
"Gar lep, nous on fait tjrs comme xa depuis, quand tu visionnais les match dans les fan zones au pays la cétait pas comme xa ?",1
BALEBA C'EST D'ABORD LE COEUR DU BALO,1
IL A TOUTE L'ENERGIE ON DIRAIT QU'IL EST ENCORE PISSO,1
Vraiment ! Les Camerounais dérangent un bon match comme vous avez toujours à dire comme ci vous pouvez faire mieux,2
C'est ça !,1
Oke,1
Yes partenaire  cest très claire,1
"Yes, juste cest notre manière de supporter  dès que Onana prends un but on cherche ondoa, dès quil arrête un penalty il devient le chat",1
on dirait que tu es dans ma tête,1
Cest la logique nor,1
voilà,1
Meilleur joueur aujourdhui,2
"Il ya la concurrence à tous les postes , le coach va devoir choisir son titulaire entre casteletto et lui. De même choupo a chauffé les bancs . Cest très serré en tout cas  nous suivons les prochaines rencontres",1
Voilà alors le problème quand on gagne on oublie tout pour être surpris après quand on va perdre,1
Le fond du jeu na rien changé et avec les vrai les équipes on va pas croire ceignerrr,1
Bien fait pour eux,2
A Douala on parle déjà ce genre de langue hein et les asiatiques partout? Hummn même la rue ne ressemble pas à Douala,1
Sa fait longtemps que tu n'as plus fait un tour à Douala surtout a akwa au niveau de la douchecité chinoise,1
Les passants sont pour la plupart Blanc,1
C'est pas le Cameroun,1
La langue qu'il parle même se rapproche plus de l'Espagnol,1
Aller de se côté la vous croyez que le pays la vous appartient encore hein,1
JSS fini,1
bro il faut aller làbas tu va comprendre  This message was edited,1
Tu raison il faut qu'il aille làbas et il pourra comprendre mieux ce qui se passe.,1
Très bizarre. Pourtant une petite Très belle chapelle catholique à Yaoundé plus précisément à mvolié,1
C'est au Cameroun?,1
Oui,1
Ça me dépasse,1
