text,label
Bro tu fais le business pour les études et tu veux orienter tt le monde dans se send ???,1
Et pourquoi alors ces messages de sa mort?,1
Selon UN ami Nigerian qui est de sa tribu ca doit etre Les leader separatist Nigerian (Biafra)qui don't en Finlande qui on payer pour qu'on publie ca.,1
D’accord pardon confirme nous par l’audio il peut ne pas vouloir essayer de force .,1
"Oui, on attend de lui une vidéo même si possible.",1
Voilà sai mieux ..comme ça,1
Il faut savoir une chose c'est un frère a nous quelques soit sa nationalité africaine ns devons savoir..s'il va bien ou pas soyons sérieux svp avec la vie ...,2
😢On dit il faut lavé tout les jours heeeee.💔,0
"Si c’est pas de bonne qualité, laver tous les jours va gâter la chaussure… 🚶🏾🚶🏾🚶🏾",2
Honnêtement qui lave ses chaussures tout les jours en Russie? faut dégager avec ça,1
😂,2
Bonsoir la famille svp j'aimerais savoir si c'est possible d'expédier un colis dès USA pour la ruissie actuellement ?,1
Oui par la poste,1
D'accord merci,2
Qui te dis?,1
Je viens de causer avec lui,1
You deleted this message,1
En tout cas,1
Bonsoir .,1
J’ai dis ici ca fais 1 ans que votre réel problème c’est le niveau d’information.,0
"@79187024315  Bonsoir, la suite de Mon gars ?",1
🇸🇳🇸🇳🇸🇳🇨🇫🇬🇭🇬🇦🇬🇼🇬🇾🇬🇳🔇🔈🔊🔉,1
C'est vraiment intéressant,2
Quel type de visa grand Claude?,1
Étudiant,1
Même si ton visa est expiré déjà ?,1
Oui .,1
Ou c'est avant expiration ?,1
Expiré. Je veux deux …..,1
null,1
Et ceux qui ne sont pas àMoscou? Salut!!,1
Nous allons d’abord prendre deux personnes dans le groupe.,1
C’est la même chose,1
👌,1
J’ai dis je vais levé le niveau si vous vous comporter bien 🤩. Si vous ne prenez en plus la route ( forêt 🌳),2
Je larve mes chaussures chaque fois apres les avoir portée,1
J les nettoie les semelles quand elle sont sale et je leur mets dehors pour dégager les odeurs,1
😂😂😂😂😂😂😂,2
Et si je vie au foyer 😃,1
🤣🤣🤣🤣🤣😂😂😂😂 non les chaussures qui sont en bas du lis ce sont ceux de l’hiver que j n porte pas 😂😂😂😂,2
Les égyptiens ne lavent jamais les chaussures 👞.,1
Oui il. Y’a plusieurs même ici au dortoirs il y’a des personnes que tu voies les pieds 🦶 au secours seigneur azamba sale tu dis comment il fait pour avoir les gos et pire la chambre seigneur quand j’ouvre la porte pour saluer l’odeur m’étouffe je referme doucement non seigneur azamba,1
"Il ne faut plus aller les saluer, tu vas attraper la doux",1
J n’ai pa en l’habitude de le dire juste j’ai écouté de la musique et j’a décidé de saluer mais e en odeur l’ont renversé par terre,1
Je juge important tes informations raison pour laquelle je les partage avec d'autres sans arrière pensée donc je pense celle ci aussi est pareille. Je ne veux pas qu'à travers moi que des gens subissent de déception ou d'arnaque car la majeure partie de nos compatriotes vit le même sort.,0
Merci pour le partage et la sensibilisation.,2
Lave,1
Ok,1
Merci autant pour moi,2
Bonjour qui quitte de Moscou pour Ekaterinbourg par Train ou Bus?,1
Moi par avion,1
Quand?,1
Et comment se porte-t-il?,1
Bien,2
👌,1
Ok. Nous attendons stp un feed-back de lui.,1
Avec qui pa,1
Il refuse,1
lol,2
Tu ne peux jamais savoir si quelqu’un qui vit à labchi est propre ou pas. Car il n’est pas le seule qui vit la. Il y’a des gens à labchi ils sont propres mais leur chambre est sale,1
"Il y’a aussi des gens ils sont sales mais leur chambre est propre, parce que les autres nettoient",1
Dc si tu veux juger si quelqu’un est propre ou pas. Attend quand la personne sera chez elle même,1
Chaque fois après avoir porté hein,1
Bon comme tu dis aussi,1
https://www.streamonsport.ru/4801-lien-cameroun-cap-vert-en-streaming-coupe-du-monde.html,1
😳,1
https://t.me/huniilive305,1
Moi j’attends le score et les pleurs sur place .,1
😂😂😂,2
😹😹😹😹faut croire,1
Dejà 4#1 en faveur du cameroun,1
Tu attends toujours ?,1
A cause du ministère des sports 😅,1
Jamais je suis eglisien...,1
Bryc ne rencreeee plus😅😅😅,1
Nous sommes là norrr . C’est ici que vous allez le chasser,1
Un bon Camerounais est d'abord bipolaire donc... 😅😅 petite situation qui ne nous arrange pas on retourne la veste😅,1
😂😂😂😂,2
*🚨🚨🚨🚨Dimitri domskova novochosé  ya une voiture de police d'immigration garé discrètement près de petrorichka et contrôle donc soyez prudent en rentrant de ce côté*,1
"Il va sauf que reeeeeentrer,un match amical comme sa , on veux deja dire kil est bon? Non il va sauf que reeeeentrer😂",2
0ok Merci so much,2
J t dis hein,1
🤣🤣🤣 son pardon est en cours de téléchargement il peut toujours avoir interruption👌😅,2
Comment ne pas gagné 🤷🏻‍♀️une équipe qui à elle seule a deux staffs🤣🤣🤣,2
Cherche les cherche les... 🤣🤣🤣🤣🤣,2
😂😂😂😂😂😂😂,2
null,1
Quand dit-on dans un match qu'il y a hors jeu ?,1
Envoie moi sa stp ib 😂😂😂😂,2
On reconnaît les habitué de vue unique même la comédie ? Yar le reflex c'est quelque chose 🙊,1
Bonsoir svp c'est possible après 50 jours sur le territoire de faire sa carte verte ???,1
🤲🏻🤲🏻🤲🏻,1
Je veux dire 4 mois svp,1
🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻,1
Oui,1
Je voulais dire 4 mois Monsieur Claude,1
Désolé,1
Oui mais… tu vas payer le штраф de 2000p après le tribunal 👨‍⚖️,1
Ok Merci tonton,2
Bonjour à tous,1
🤝,1
🗣Ce qui va cuire cuira,1
null,1
.,1
C'est facile de tenir certaines promesses on attend 2035,1
😂,2
Depuis quand russe est devenu noir?,1
En tout cas ya pas mieux que le naturel,1
Bonjour Tonton STP c'est aussi possible de prolonger le visa visiteurs?,1
Tu me chicotte seulement Fréro?,1
Papa etoo a vu ça,1
Va sur le site de l'ambassade,1
Quand quelqu’un part a l’école pour vous ca devient la magie quoi 😔😔,1
https://portal.passcam.cm/,1
Ne rit pas,1
null,1
null,1
null,1
😂😂😂😂🤦🏾‍♂️,2
Mokolo sur nous maintenant,1
Ah bon,1
"Désolé pour le message fortuit, il s'agit d'une manifestation de l'inconscient positif.",1
Ah ok,1
C'est clair ils font ça ensemble 🙆🏽‍♂️,1
Surtout chez nous les Africains on connaît tout ça le pater là doit s'expliquer.,1
L' administrateur du groupe peut maintenant effacer.🥱,1
"Dans le contexte familial je ne trouves pas d’inconvénient à cette vidéo, il s’agit du rapprochement familial d’une part d’un amour sincère entre père et fille sans débordement.",1
Donc tes informations c’est Google ? 😪😪,1
"Les gars lorsque vous voulez faire un mariage fictif, regardez aussi l'âge de la personne avec qui vous le faite voila un frère qui était dans une procédure avec une femme de plus de 20ans que lui  il a été déporté",1
